league_key,year,week,team_key,31,32,33,34,35,36,37,48,49,50,51,52,53,54,55,56,67,68,69,70,71,72,73,74,75,76,77,82
406.l.231515,2021,1,406.l.231515.t.1,13.0,2.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,314.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
406.l.231515,2021,1,406.l.231515.t.6,14.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,322.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
406.l.231515,2021,1,406.l.231515.t.2,33.0,3.0,1.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,491.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
406.l.231515,2021,1,406.l.231515.t.4,29.0,2.0,1.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,457.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
406.l.231515,2021,1,406.l.231515.t.3,29.0,1.0,1.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,451.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
406.l.231515,2021,1,406.l.231515.t.5,14.0,6.0,1.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,252.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
406.l.231515,2021,1,406.l.231515.t.7,23.0,2.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,252.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
406.l.231515,2021,1,406.l.231515.t.12,27.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,366.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
406.l.231515,2021,1,406.l.231515.t.8,17.0,2.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,259.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
